loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
square,l1,0.01,0.5,2.2677551020408164,0.7497480382400291,0.8530843948602626,0.22344096164262944,0.0,0.035559003615475475,0.04001562913532162
square,l1,0.01,0.5,2.3287755102040815,0.7172407068137229,0.8532337134059751,0.21928958541030694,0.0,0.034224109153894955,0.040833641458677385
square,l1,0.01,0.5,2.389795918367347,0.6874120694647877,0.853372106133532,0.2154598309920589,0.0,0.032996982479083885,0.0416104062207356
square,l1,0.01,0.5,2.450816326530612,0.6599466383289513,0.8535007532234101,0.21191639337039375,0.0,0.03186594559269266,0.04234893082665158
square,l1,0.01,0.5,2.5118367346938775,0.6345762475396874,0.8536206684856831,0.20862885631941006,0.0,0.030820858493128832,0.04305194309711559
square,l1,0.01,0.5,2.572857142857143,0.6110715605113997,0.8537327279625039,0.20557089126521932,0.0,0.02985288662394557,0.043721921861954734
square,l1,0.01,0.5,2.633877551020408,0.5892353306605319,0.8538376927865396,0.20271960528192862,0.0,0.028954307079363577,0.04436112392214164
square,l1,0.01,0.5,2.6948979591836735,0.5688970109631604,0.8539362276010576,0.20005500751728192,0.0,0.028118346678485662,0.044971607719608106
square,l1,0.01,0.5,2.7559183673469385,0.5499084082885569,0.8540289155233967,0.19755957035746077,0.0,0.02733904632901296,0.04555525421338985
square,l1,0.01,0.5,2.816938775510204,0.5321401556660146,0.8541162703874599,0.19521786658241172,0.0,0.02661114705025016,0.046113785246514646
square,l1,0.01,0.5,2.8779591836734695,0.5154788288116489,0.8541987468295504,0.19301626790083246,0.0,0.025929993912746606,0.046648779760256
square,l1,0.01,0.5,2.9389795918367345,0.4998245749196136,0.8542767486490739,0.19094269323427546,0.0,0.025291454809385116,0.04716168808297681
